,Film_FirstReleaseMonth_Cat_April,Film_FirstReleaseMonth_Cat_August,Film_FirstReleaseMonth_Cat_December,Film_FirstReleaseMonth_Cat_February,Film_FirstReleaseMonth_Cat_January,Film_FirstReleaseMonth_Cat_July,Film_FirstReleaseMonth_Cat_June,Film_FirstReleaseMonth_Cat_March,Film_FirstReleaseMonth_Cat_May,Film_FirstReleaseMonth_Cat_November,Film_FirstReleaseMonth_Cat_October,Film_FirstReleaseMonth_Cat_September,Film_Metacritic,Genre_Action,Genre_Adventure,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_Film-Noir,Genre_History,Genre_Horror,Genre_Music,Genre_Musical,Genre_Mystery,Genre_Romance,Genre_Sci-Fi,Genre_Sport,Genre_Thriller,Genre_War,Genre_Western,Nomination_Film_Title,Nomination_Is_Winner,Nominations_Academy_Crew_OtherNomPrevYearCount,Nominations_Academy_Crew_OtherNomSameYearCount,Nominations_Academy_Crew_OtherWinPrevYearCount,Nominations_Academy_Film_ActorNomCount,Nominations_Academy_Film_ActressNomCount,Nominations_Academy_Film_BestPictureNomCount,Nominations_Academy_Film_DirectorNomCount,Nominations_Academy_Film_HasMajorNoms,Nominations_Academy_Film_OtherNomCount,Nominations_Academy_Film_ScreenplayNomCount,Nominations_Academy_Person_OtherBestActorNomPrevYearCount,Nominations_Academy_Person_OtherBestActorNomSameYearCount,Nominations_Academy_Person_OtherBestActorWinPrevYearCount,Nominations_Academy_Person_OtherBestSupportingActorNomPrevYearCount,Nominations_Academy_Person_OtherBestSupportingActorNomSameYearCount,Nominations_Academy_Person_OtherBestSupportingActorWinPrevYearCount,Nominations_Academy_Person_OtherNonBestActorNomPrevYearCount,Nominations_Academy_Person_OtherNonBestActorNomSameYearCount,Nominations_Academy_Person_OtherNonBestActorWinPrevYearCount,Person_Age,Person_Name
13,0,1,0,0,0,0,0,0,0,0,0,0,93.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,La La Land  ,0,25,0,4,1,1,1,1,1,9,1,1,0,0,0,0,0,0,0,0,36,Ryan Gosling
14,0,0,0,0,1,0,0,0,0,0,0,0,72.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Captain Fantastic  ,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,58,Viggo Mortensen
15,0,0,1,0,0,0,0,0,0,0,0,0,76.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,The Revenant  ,1,45,1,11,0,0,1,1,0,9,0,3,0,0,1,0,0,1,0,0,41,Leonardo DiCaprio
16,0,0,0,0,0,0,0,0,0,0,0,1,60.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trumbo  ,0,46,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,Bryan Cranston
17,0,0,0,0,0,0,0,0,0,0,0,1,66.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,The Danish Girl  ,0,11,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,33,Eddie Redmayne
18,0,0,0,0,0,0,0,0,0,0,0,1,80.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,The Martian  ,0,26,1,5,0,0,1,0,0,4,1,1,0,0,1,0,0,0,0,1,45,Matt Damon
19,0,0,0,0,0,0,0,0,0,0,0,1,82.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Steve Jobs  ,0,25,1,10,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,38,Michael Fassbender
20,0,0,0,0,0,0,0,0,0,0,0,1,72.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,The Theory of Everything  ,1,9,0,6,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,32,Eddie Redmayne
21,0,1,0,0,0,0,0,0,0,0,0,0,73.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,The Imitation Game  ,0,6,0,3,0,0,1,1,0,4,1,0,0,0,0,0,0,0,0,0,38,Benedict Cumberbatch
22,0,0,0,0,0,0,0,0,0,1,0,0,72.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,American Sniper  ,0,35,1,11,0,0,1,0,0,3,1,1,0,0,1,0,0,0,1,0,39,Bradley Cooper
