,Film_FirstReleaseMonth_Cat_April,Film_FirstReleaseMonth_Cat_August,Film_FirstReleaseMonth_Cat_December,Film_FirstReleaseMonth_Cat_February,Film_FirstReleaseMonth_Cat_January,Film_FirstReleaseMonth_Cat_July,Film_FirstReleaseMonth_Cat_June,Film_FirstReleaseMonth_Cat_March,Film_FirstReleaseMonth_Cat_May,Film_FirstReleaseMonth_Cat_November,Film_FirstReleaseMonth_Cat_October,Film_FirstReleaseMonth_Cat_September,Film_Metacritic,Genre_Action,Genre_Adventure,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_Film-Noir,Genre_History,Genre_Horror,Genre_Music,Genre_Musical,Genre_Mystery,Genre_Romance,Genre_Sci-Fi,Genre_Sport,Genre_Thriller,Genre_War,Genre_Western,Nomination_Film_Title,Nomination_Is_Winner,Nominations_Academy_Crew_OtherNomPrevYearCount,Nominations_Academy_Crew_OtherNomSameYearCount,Nominations_Academy_Crew_OtherWinPrevYearCount,Nominations_Academy_Film_ActorNomCount,Nominations_Academy_Film_ActressNomCount,Nominations_Academy_Film_BestPictureNomCount,Nominations_Academy_Film_DirectorNomCount,Nominations_Academy_Film_HasMajorNoms,Nominations_Academy_Film_OtherNomCount,Nominations_Academy_Film_ScreenplayNomCount,Nominations_Academy_Person_OtherBestDirectorNomPrevYearCount,Nominations_Academy_Person_OtherBestDirectorNomSameYearCount,Nominations_Academy_Person_OtherBestDirectorWinPrevYearCount,Nominations_Academy_Person_OtherNonBestDirectorNomPrevYearCount,Nominations_Academy_Person_OtherNonBestDirectorNomSameYearCount,Nominations_Academy_Person_OtherNonBestDirectorWinPrevYearCount,Person_Age,Person_Name
14,0,0,0,0,0,0,0,0,0,0,0,1,71.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Hacksaw Ridge  ,0,27,0,4,1,0,1,1,0,3,0,0,0,1,0,0,1,60,Mel Gibson
15,0,0,1,0,0,0,0,0,0,0,0,0,76.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,The Revenant  ,1,49,1,10,1,0,1,1,0,9,0,1,0,1,1,1,2,52,Alejandro G. Iñárritu
16,0,0,0,0,0,0,0,0,0,1,0,0,81.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The Big Short  ,0,33,1,5,0,0,1,1,0,2,1,0,0,0,0,1,0,47,Adam McKay
17,0,0,0,0,0,0,0,0,1,0,0,0,90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Mad Max: Fury Road  ,0,28,1,12,0,0,1,1,0,8,0,0,0,0,3,1,1,70,George Miller
18,0,0,0,0,0,0,0,0,0,0,0,1,86.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Room  ,0,5,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,49,Lenny Abrahamson
19,0,0,0,0,0,0,0,0,0,0,0,1,93.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spotlight  ,0,6,1,0,0,0,1,1,0,3,1,0,0,0,1,1,0,49,Tom McCarthy
20,0,1,0,0,0,0,0,0,0,0,0,0,87.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Birdman or (The Unexpected Virtue of Ignorance)  ,1,39,1,9,1,0,1,1,0,5,1,1,0,0,1,2,0,51,Alejandro G. Iñárritu
21,0,0,0,0,0,0,0,0,1,0,0,0,81.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Foxcatcher  ,0,23,0,4,1,0,0,1,0,2,1,1,0,0,0,0,0,48,Bennett Miller
22,0,1,0,0,0,0,0,0,0,0,0,0,73.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,The Imitation Game  ,0,6,0,3,1,0,1,1,0,4,1,0,0,0,0,0,0,47,Morten Tyldum
23,0,0,0,0,1,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boyhood  ,0,3,0,0,0,0,1,1,0,3,1,0,0,0,2,2,0,54,Richard Linklater
