,Film_FirstReleaseMonth_Cat_April,Film_FirstReleaseMonth_Cat_August,Film_FirstReleaseMonth_Cat_December,Film_FirstReleaseMonth_Cat_February,Film_FirstReleaseMonth_Cat_January,Film_FirstReleaseMonth_Cat_July,Film_FirstReleaseMonth_Cat_June,Film_FirstReleaseMonth_Cat_March,Film_FirstReleaseMonth_Cat_May,Film_FirstReleaseMonth_Cat_November,Film_FirstReleaseMonth_Cat_October,Film_FirstReleaseMonth_Cat_September,Film_Metacritic,Genre_Action,Genre_Adventure,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_Film-Noir,Genre_History,Genre_Horror,Genre_Music,Genre_Musical,Genre_Mystery,Genre_Romance,Genre_Sci-Fi,Genre_Sport,Genre_Thriller,Genre_War,Genre_Western,Nomination_Film_Title,Nomination_Is_Winner,Nominations_Academy_Crew_OtherNomPrevYearCount,Nominations_Academy_Crew_OtherNomSameYearCount,Nominations_Academy_Crew_OtherWinPrevYearCount,Nominations_Academy_Film_ActorNomCount,Nominations_Academy_Film_ActressNomCount,Nominations_Academy_Film_BestPictureNomCount,Nominations_Academy_Film_DirectorNomCount,Nominations_Academy_Film_HasMajorNoms,Nominations_Academy_Film_OtherNomCount,Nominations_Academy_Film_ScreenplayNomCount,Nominations_Academy_Person_OtherBestActressNomPrevYearCount,Nominations_Academy_Person_OtherBestActressNomSameYearCount,Nominations_Academy_Person_OtherBestActressWinPrevYearCount,Nominations_Academy_Person_OtherBestSupportingActressNomPrevYearCount,Nominations_Academy_Person_OtherBestSupportingActressNomSameYearCount,Nominations_Academy_Person_OtherBestSupportingActressWinPrevYearCount,Nominations_Academy_Person_OtherNonBestActressNomPrevYearCount,Nominations_Academy_Person_OtherNonBestActressNomSameYearCount,Nominations_Academy_Person_OtherNonBestActressWinPrevYearCount,Person_Age,Person_Name
13,0,0,0,0,0,0,0,0,0,0,0,1,81.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jackie  ,0,13,0,2,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,35,Natalie Portman
14,0,0,0,0,0,0,0,0,1,0,0,0,79.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Loving  ,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,Ruth Negga
15,0,0,0,0,0,0,0,0,0,0,0,1,86.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Room  ,1,5,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,26,Brie Larson
16,0,0,0,0,0,0,0,0,1,0,0,0,95.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Carol  ,0,19,1,5,0,0,0,0,0,4,1,2,0,1,2,0,1,0,0,0,46,Cate Blanchett
17,0,0,0,1,0,0,0,0,0,0,0,0,94.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,45 Years  ,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,Charlotte Rampling
18,0,0,1,0,0,0,0,0,0,0,0,0,56.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Joy  ,0,32,0,5,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,25,Jennifer Lawrence
19,0,0,0,0,1,0,0,0,0,0,0,0,88.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Brooklyn  ,0,13,0,7,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,21,Saoirse Ronan
20,0,0,0,0,0,0,0,0,0,0,0,1,72.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Still Alice  ,1,6,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,54,Julianne Moore
21,0,0,0,0,0,0,0,0,0,0,0,1,72.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,The Theory of Everything  ,0,9,0,6,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,31,Felicity Jones
22,0,0,0,0,0,0,0,0,1,0,0,0,89.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Deux jours, une nuit  ",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,39,Marion Cotillard
